point_id,energy_MeV,sigma_inelastic_mb,residual_probability,sigma_mb,sigma_unc_stat_mb,sigma_upper_95_mb,residual_count,n_interactions,cross_section_data_sets,model_counts,physics_list,geant4_version,stopping_condition
0,5.0,44.2621977084,0.0,0.0,,0.013259769417348138,0,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,below_threshold
1,5.5,60.0494495023,0.0,0.0,,0.017989207388319075,0,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
2,6.0,78.523013502,0.0,0.0,,0.02352339257646572,0,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
3,7.0,122.727135684,0.0,0.0,,0.03676576412093984,0,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
4,8.0,174.287367787,0.0,0.0,,0.052211829255229006,0,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
5,9.0,229.601874735,0.0,0.0,,0.06878257462121402,0,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
6,10.0,284.959739049,0.0,0.0,,0.08536630869326127,0,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
7,11.0,337.282730726,0.0,0.0,,0.10104087617482985,0,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
8,12.0,384.487523218,0.0,0.0,,0.11518216820830018,0,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
9,14.0,460.0,0.0,0.0,,0.13780368458348358,0,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
10,16.0,497.5,0.0,0.0,,0.14903768060931105,0,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
11,18.0,518.333333333,0.0,0.0,,0.15527878951244867,0,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
12,20.0,535.0,0.0,0.0,,0.1602716766351385,0,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
13,22.0,537.0,0.0,0.0,,0.16087082308984932,0,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
14,24.0,533.666666667,0.0,0.0,,0.15987224566543115,0,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
15,26.0,526.0,0.0,0.0,,0.15757551758893992,0,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
16,28.0,513.333333333,0.0,0.0,,0.15378092337567167,0,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
17,30.0,500.0,0.0021,1.05,0.2288880730837673,,21,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
18,35.0,460.0,0.0284,13.064,0.7641185709037571,,284,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
19,40.0,432.0,0.0486,20.9952,0.928930997273748,,486,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
20,45.0,405.0,0.0439,17.779500000000002,0.8297341067926519,,439,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
21,50.0,390.0,0.0595,23.205,0.9225767163222796,,595,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
22,55.0,370.0,0.0572,21.164,0.8592301847584267,,572,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
23,60.0,350.0,0.0653,22.855,0.8646906368754087,,653,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
24,65.0,335.0,0.0661,22.143500000000003,0.8323303375313194,,661,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
25,70.0,320.0,0.0651,20.832,0.7894471341388226,,651,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
26,75.0,315.0,0.0683,21.514499999999998,0.7946190149845396,,683,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
27,80.0,310.0,0.0687,21.297,0.7841242115251894,,687,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
28,85.0,307.0,0.0671,20.599700000000002,0.7680989688777092,,671,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
29,90.0,304.0,0.0639,19.4256,0.743507126034445,,639,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
30,95.0,298.5,0.0666,19.880100000000002,0.7442440106571231,,666,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
31,100.0,293.0,0.0581,17.0233,0.6854220712167066,,581,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
32,105.0,291.5,0.0616,17.956400000000002,0.7008465095183111,,616,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
33,110.0,290.0,0.0616,17.864,0.6972400952326251,,616,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
34,115.0,288.5,0.0567,16.35795,0.6672095657885535,,567,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
35,120.0,287.0,0.0572,16.4164,0.6664839541234283,,572,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
36,125.0,286.0,0.0563,16.1018,0.6592303722341681,,563,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
37,130.0,285.0,0.0566,16.131,0.6585685870886949,,566,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
38,135.0,284.0,0.0566,16.0744,0.6562578201164538,,566,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
39,140.0,283.0,0.0506,14.319799999999999,0.6202778996514384,,506,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
40,145.0,281.0,0.0558,15.6798,0.6449936179498214,,558,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
41,150.0,279.0,0.0497,13.8663,0.6063351733414449,,497,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
