point_id,energy_MeV,sigma_inelastic_mb,residual_probability,sigma_mb,sigma_unc_stat_mb,sigma_upper_95_mb,residual_count,n_interactions,cross_section_data_sets,model_counts,physics_list,geant4_version,stopping_condition
0,5.0,44.2621977084,0.0,0.0,,0.013259769417348138,0,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,below_threshold
1,5.5,60.0494495023,0.0,0.0,,0.017989207388319075,0,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
2,6.0,78.523013502,0.0,0.0,,0.02352339257646572,0,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
3,7.0,122.727135684,0.0,0.0,,0.03676576412093984,0,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
4,8.0,174.287367787,0.0,0.0,,0.052211829255229006,0,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
5,9.0,229.601874735,0.036,8.265667490459998,0.42772555367699405,,360,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
6,10.0,284.959739049,0.077,21.941899906773,0.7596782937635159,,770,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
7,11.0,337.282730726,0.0873,29.444782392379803,0.9520620463394234,,873,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
8,12.0,384.487523218,0.0736,28.298281708844797,1.0039692972340255,,736,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
9,14.0,460.0,0.0345,15.870000000000001,0.8395441084302838,,345,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
10,16.0,497.5,0.0181,9.004750000000001,0.6632328099873754,,181,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
11,18.0,518.333333333,0.0067,3.4728333333311006,0.4228504116604792,,67,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
12,20.0,535.0,0.0047,2.5145,0.36591457879537953,,47,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
13,22.0,537.0,0.0019,1.0203,0.23385039831268192,,19,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
14,24.0,533.666666667,0.0014,0.7471333333337999,0.19953995773736027,,14,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
15,26.0,526.0,0.0008,0.4208,0.1487157447481604,,8,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
16,28.0,513.333333333,0.0,0.0,,0.15378092337567167,0,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
17,30.0,500.0,0.0,0.0,,0.14978661367769955,0,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
18,35.0,460.0,0.0031,1.426,0.25571987095257187,,31,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
19,40.0,432.0,0.0028,1.2096,0.22827265886215983,,28,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
20,45.0,405.0,0.0014,0.567,0.15143101102482281,,14,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
21,50.0,390.0,0.0029,1.131,0.20971667530265684,,29,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
22,55.0,370.0,0.0052,1.924,0.2661161821460694,,52,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
23,60.0,350.0,0.0055,1.9249999999999998,0.25885215374804205,,55,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
24,65.0,335.0,0.0075,2.5124999999999997,0.28902851827285136,,75,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
25,70.0,320.0,0.0119,3.8080000000000003,0.34699555270925303,,119,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
26,75.0,315.0,0.0128,4.032,0.35409362829624597,,128,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
27,80.0,310.0,0.0131,4.061,0.3524795425269387,,131,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
28,85.0,307.0,0.0143,4.3901,0.36448425507695115,,143,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
29,90.0,304.0,0.0146,4.4384,0.3646332685644578,,146,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
30,95.0,298.5,0.0122,3.6417,0.32768665995276647,,122,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
31,100.0,293.0,0.0147,4.3071,0.35262291326429707,,147,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
32,105.0,291.5,0.0143,4.16845,0.34608195555352206,,143,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
33,110.0,290.0,0.014,4.0600000000000005,0.3407222329112088,,140,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
34,115.0,288.5,0.0166,4.7891,0.3686081755997824,,166,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
35,120.0,287.0,0.0169,4.8503,0.36993387110536385,,169,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
36,125.0,286.0,0.017,4.862,0.36971515467992383,,170,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
37,130.0,285.0,0.0184,5.244,0.38301964231616115,,184,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
38,135.0,284.0,0.0162,4.6008,0.3585331001957839,,162,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
39,140.0,283.0,0.0149,4.2167,0.3428622961350518,,149,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
40,145.0,281.0,0.0181,5.0861,0.37460988865618594,,181,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
41,150.0,279.0,0.0164,4.5756000000000006,0.3543524071655222,,164,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
